CountryCode,Month,Year,tmpf,dwpf,mslp,sknt,feel,relh,p01i,ice_accretion_6hr
AE,1,1979,65.63355263157895,53.978217821782174,1019.4396514161219,8.122294372294371,65.55299229922993,68.85787678767876,,
AE,2,1979,67.0828025477707,54.19922279792746,1015.8922043010754,6.936467598475223,66.81406735751295,67.64056994818652,,
AE,3,1979,70.7862796833773,57.39541041482789,1014.1054054054053,8.990393013100437,70.72472197705207,65.89982347749338,,
AE,4,1979,78.72590361445783,58.14736842105263,1011.623488372093,6.262636273538156,78.46813765182186,54.78678137651821,,
AE,5,1979,86.2388888888889,62.32447552447553,1008.5655555555555,6.736963190184049,87.9688578088578,49.28105672105672,,
AE,6,1979,92.95701357466064,72.95547112462006,1000.9458860759495,6.847368421052631,103.47220364741642,57.27110182370821,,
AE,7,1979,94.21538461538461,71.69616026711185,999.0453987730061,6.6274671052631575,104.25840567612687,52.486652754590985,,
AE,8,1979,93.51664233576642,72.99483394833949,1000.3889380530973,6.990593342981187,105.59135793357935,56.08848708487084,,
AE,9,1979,88.78692015209126,71.42798165137614,1006.7812199036917,5.341925701288855,96.15017584097859,60.93761467889908,,
AE,10,1979,83.78492840994726,69.37977186311787,1012.9313787638669,4.904017857142857,87.63499619771864,66.07661596958175,,
AE,11,1979,72.82556158017042,54.83626373626373,1016.6338259441708,4.494996150885297,73.01902668759811,57.917464678178966,,
AE,12,1979,68.00266864343959,57.640210052513126,1018.657142857143,5.11094783247612,67.99595648912228,71.54050262565642,,
AF,1,1979,39.74737845567207,28.174131274131277,1022.9489300998573,3.0765595463137996,38.035876089060984,67.10603281853282,,
AF,2,1979,44.01437125748503,31.889425981873114,1018.6915714285714,3.569154228855721,42.75043654822335,66.17944612286003,,
AF,3,1979,50.01103166496425,35.911721224920804,1017.1004470938898,3.579107505070994,49.09316348195329,62.74507919746568,,
AF,4,1979,66.7735655737705,48.37981269510926,1011.3469265367316,4.406762295081967,66.4439375,57.26106139438085,,
AF,5,1979,66.86749285033365,44.20389483933788,1010.9202739726028,4.598298676748582,66.48205653021442,50.09465433300876,,
AF,6,1979,81.56797583081571,45.79259259259259,1003.0460087082728,4.799398194583751,80.25898148148148,33.05205761316872,,
AF,7,1979,87.47177497575169,47.657874015748035,998.4925925925926,5.607074569789675,86.40875984251969,29.024812992125984,,
AF,8,1979,81.94075675675676,47.48675496688742,1001.5048742138364,5.26524064171123,81.33209713024283,34.73116997792494,,
AF,9,1979,74.22594385285575,40.43008849557522,1009.4011111111112,4.695945945945946,73.58810039370078,33.26567354965585,,
AF,10,1979,66.58980891719746,37.88388663967611,1015.6157718120805,3.085240726124704,66.36149108589952,37.984307692307695,,
AF,11,1979,48.4235197368421,28.407550335570473,1023.1893181818182,2.5642683912691995,47.71562763268744,50.33062919463087,,
AF,12,1979,44.00571010248902,31.177563150074295,1022.0293453724605,2.8672951414068164,42.944785875281745,64.78897473997029,,
AO,1,1979,73.856,66.416,1010.0513513513514,4.9743589743589745,75.81826666666666,79.5132,,
AO,2,1979,73.44736842105263,65.1875,1009.8254545454546,5.692982456140351,75.15357142857144,77.02616071428572,,
AO,3,1979,74.6,65.2,1011.1444444444444,4.333333333333333,76.38833333333334,75.27111111111111,,
AO,4,1979,77.36233766233765,64.3523178807947,1008.8242857142857,6.707792207792208,80.38271523178808,66.59437086092716,,
AO,5,1979,72.73684210526316,61.9,1011.3439999999999,4.818181818181818,73.84574074074074,71.33092592592592,,
AO,6,1979,67.8125,51.574999999999996,1015.1190476190476,7.104166666666667,67.558125,60.14291666666667,,
